"imem.postmean","imem.postsd","imem.lwr","imem.upr","imem.esss","dmem.postmean","dmem.postsd","dmem.lwr","dmem.upr","dmem.esss","smean","ssd","slwr","supr","mode","outcm","primid","dmem.pctdiffmean","dmem.pctdecsd","imem.pctdiffmean","imem.pctdecsd"
4.05491883710608,0.00544715924545127,4.07275102310038,4.03873996353685,1587.01222141432,4.12492802571491,0.00602215205370906,4.15815933204022,4.07990859273494,1764.90166747003,4.09677419354839,0.233509175107792,3.63910462027746,4.55444376681932,"CAR (N=31)","happy","1002",0.00687219525324575,0.974210212292818,0.0102166618087516,0.976672611502581
3.69519111957179,0.0222948224842619,3.78765620807333,3.62890054294001,452.22804639652,3.75309834250661,0.0228016958511999,3.8495481259086,3.63689804520054,840.959248554557,3.70967741935484,0.218467528588392,3.28148893153012,4.13786590717956,"CAR (N=31)","meaningful","1002",0.0117047705887393,0.89562890193096,0.0039050025502128,0.897949033303403
1.89304675594488,0.0170846491923061,1.99096732369043,1.82401933670326,803.649949821641,1.73395768366954,0.0138139060702537,1.78742155970484,1.67100716418756,906.970171177709,1.87096774193548,0.178053607270642,1.52198908436759,2.21994639950338,"CAR (N=31)","pain","1002",0.073229513900763,0.922417151317488,0.0118008523153644,0.904047722176516
1.40785449962854,0.0138043175036914,1.43768017708117,1.37996605600433,444.135412232045,1.35486231079011,0.00419218054851104,1.3927916427592,1.31593648440461,2927.72119393918,1.45161290322581,0.184558232657777,1.0898854141662,1.81334039228541,"CAR (N=31)","sad","1002",0.0666504081223663,0.977285323509331,0.0301446780336694,0.92520345852418
1.92211554820685,0.0131270162731996,1.9590763872544,1.8831629217406,551.914649189873,1.92857334697515,0.00801282146747847,1.98795708879238,1.87192440490958,1813.91567658148,1.90322580645161,0.20401791355925,1.50335804367448,2.30309356922875,"CAR (N=31)","stressful","1002",0.0133181992581305,0.960724912201637,0.00992511854936377,0.935657531026621
1.24616998703553,0.0113740644636999,1.25671025587586,1.23790199702475,271.799365685472,1.32487266813989,0.00804175418295882,1.3470307583933,1.29480392709162,517.75462183795,1.29032258064516,0.10568311720693,1.08318747714565,1.49745768414467,"CAR (N=31)","tired","1002",0.0267763178084154,0.923906917249489,0.034218260047463,0.892375766685333
5.45313193865496,0.00962798290104901,5.48920178861362,5.41781023200521,447.379919158163,5.4497350098592,0.0107534003597224,5.5299344689763,5.35710774495241,862.578561408582,5.4,0.371184290855335,4.6724921582965,6.1275078417035,"WALK (N=10)","happy","1002",0.0092101870109621,0.971029484208659,0.00983924789906708,0.974061448347227
4.85089246677647,0.018824023253484,4.90114315697584,4.80031844240334,202.499627063538,4.80127715200247,0.0215556444088727,4.9230601389733,4.69286987047851,337.861014640603,4.8,0.32659863237109,4.15987844315263,5.44012155684737,"WALK (N=10)","meaningful","1002",0.000266073333847576,0.933999587651731,0.0106025972450981,0.942363435153349
1.06495408248439,0.00370406464402253,1.07130098605748,1.06074109808144,270.208969280015,1.14569781481754,0.0057335456272337,1.16945481038016,1.12531103428561,251.21595393503,1.1,0.1,0.904003601545995,1.29599639845401,"WALK (N=10)","pain","1002",0.0415434680159473,0.942664543727663,0.0318599250141898,0.962959353559775
1.39001732590206,0.016060317491833,1.4340311796407,1.33899676325563,167.071493080862,1.27765814769555,0.0028743143369968,1.29765688753848,1.26313879798206,888.96256902357,1.4,0.221108319357027,0.966635657378047,1.83336434262195,"WALK (N=10)","sad","1002",0.0873870373603208,0.987000424292694,0.00713048149853132,0.927364481180375
1.45342259128132,0.0159969539208989,1.49809156549796,1.41351568381174,161.176435776204,1.52199085575738,0.00982541096959949,1.57103248408047,1.45107928086582,401.757310067492,1.5,0.223606797749979,1.06173872971171,1.93826127028829,"WALK (N=10)","stressful","1002",0.0146605705049231,0.956059426330207,0.0310516058124503,0.928459447199876
1.13359292836861,0.0283085257995497,1.1791538147347,1.06965510029303,77.3598527066372,1.21257203812942,0.0108753600111489,1.22794160299596,1.19828691134735,89.58014640723,1.1,0.1,0.904003601545995,1.29599639845401,"WALK (N=10)","tired","1002",0.102338216481295,0.891246399888511,0.0305390257896417,0.716914742004503
3.01549505508006,0.0311502306284269,3.09592726991067,2.9261331086376,264.806818983069,3.09700457294605,0.0452667840897952,3.2904117866474,2.92368510592607,373.931191507066,2.9,0.315394489822708,2.28183815902511,3.51816184097489,"CAR (N=20)","happy","1003",0.0679326113607064,0.85647566602942,0.03982588106209,0.901234068337918
1.08001169293768,0.0177103813634644,1.15556142426929,1.05494688273941,283.602387990619,1.20789301377674,0.0349306652809881,1.27579684558884,1.14541326580092,116.355543442116,1.15,0.0819178021909125,0.989444058013135,1.31055594198686,"CAR (N=20)","meaningful","1003",0.0503417511102073,0.573588837264202,0.0608593974454985,0.783803020957646
1.07153840419484,0.00350174215137542,1.07713153382389,1.06703347054837,389.380381520695,1.11276730614472,0.00220475760273692,1.12467397688024,1.10418200394684,769.386724459673,1.1,0.0688247201611685,0.965106027238062,1.23489397276194,"CAR (N=20)","pain","1003",0.0116066419497416,0.967965614715556,0.025874178004689,0.949120866119393
1.04251379910581,0.00338908773893856,1.04703326304676,1.03857728606019,288.155317877028,1.13189867514087,0.00417729959601266,1.13655473881802,1.1251711907093,233.191670541489,1.05,0.05,0.952001800772997,1.147998199227,"CAR (N=20)","stressful","1003",0.0779987382294001,0.916454008079747,0.00712971513732132,0.932218245221229
