"imem.postmean","imem.postsd","imem.lwr","imem.upr","imem.esss","dmem.postmean","dmem.postsd","dmem.lwr","dmem.upr","dmem.esss","smean","ssd","slwr","supr","mode","outcm","primid","dmem.pctdiffmean","dmem.pctdecsd","imem.pctdiffmean","imem.pctdecsd"
4.05491883710608,0.00544715924545127,4.07312456897018,4.03905636687678,1587.01222141432,4.08940607928054,0.0414402165524414,4.24174289894371,3.95211952876798,1132.27082091163,4.09677419354839,0.233509175107792,3.63910462027746,4.55444376681932,"CAR (N=31)","happy","1002",0.00179851608112698,0.822532812540184,0.0102166618087516,0.976672611502581
3.69519111957179,0.0222948224842619,3.78771716961332,3.62874117298279,452.22804639652,3.69138990551656,0.0121930327221466,3.75899936026314,3.62697045295971,989.449873615651,3.70967741935484,0.218467528588392,3.28148893153012,4.13786590717956,"CAR (N=31)","meaningful","1002",0.00492967764336168,0.944188352379272,0.0039050025502128,0.897949033303403
1.89304675594488,0.0170846491923061,1.9905428183779,1.82378856153005,803.649949821641,1.84402620593643,0.019552403012475,1.91440117812631,1.74124670890659,820.581635991331,1.87096774193548,0.178053607270642,1.52198908436759,2.21994639950338,"CAR (N=31)","pain","1002",0.0143997864822539,0.890188110692106,0.0118008523153644,0.904047722176516
1.40785449962854,0.0138043175036914,1.43754146290859,1.37981017871793,444.135412232045,1.34915078684526,0.00339641329178111,1.38298534810886,1.32329348516579,2964.50061411477,1.45161290322581,0.184558232657777,1.0898854141662,1.81334039228541,"CAR (N=31)","sad","1002",0.0705850135065963,0.981597064282258,0.0301446780336694,0.92520345852418
1.92211554820685,0.0131270162731996,1.95953127788903,1.88366911640698,551.914649189873,1.93921248566348,0.00479483621484135,1.97997307589206,1.90824179534532,2120.41587386182,1.90322580645161,0.20401791355925,1.50335804367448,2.30309356922875,"CAR (N=31)","stressful","1002",0.0189082551791168,0.976497964658143,0.00992511854936377,0.935657531026621
1.24616998703553,0.0113740644636999,1.256880848717,1.23808321777641,271.799365685472,1.34075589331393,0.0103204203475373,1.3714293923441,1.29590459447557,451.622156662628,1.29032258064516,0.10568311720693,1.08318747714565,1.49745768414467,"CAR (N=31)","tired","1002",0.0390858173182967,0.902345609967866,0.034218260047463,0.892375766685333
5.45313193865496,0.00962798290104901,5.48875630082443,5.41756068257351,447.379919158163,5.44419707844959,0.005803787525322,5.49026674579007,5.38594557305635,998.566269701139,5.4,0.371184290855335,4.6724921582965,6.1275078417035,"WALK (N=10)","happy","1002",0.00818464415733189,0.98436413482923,0.00983924789906708,0.974061448347227
4.85089246677647,0.018824023253484,4.90117511022033,4.80039476411558,202.499627063538,4.77857151299093,0.0189914264912839,4.88726715152549,4.67841673630326,345.453033173616,4.8,0.32659863237109,4.15987844315263,5.44012155684737,"WALK (N=10)","meaningful","1002",0.00446426812688934,0.941850869510974,0.0106025972450981,0.942363435153349
1.06495408248439,0.00370406464402253,1.07129074947806,1.06073698867883,270.208969280015,1.154213375571,0.00443396405473477,1.16439687958333,1.14286415019166,237.22828500062,1.1,0.1,0.904003601545995,1.29599639845401,"WALK (N=10)","pain","1002",0.0492848868827244,0.955660359452652,0.0318599250141898,0.962959353559775
1.39001732590206,0.016060317491833,1.43415672553951,1.33915549641037,167.071493080862,1.26893538716171,0.00441623001495706,1.30311487263979,1.23557561165075,764.715990476595,1.4,0.221108319357027,0.966635657378047,1.83336434262195,"WALK (N=10)","sad","1002",0.0936175805987778,0.980026848253384,0.00713048149853132,0.927364481180375
